,Feature,Feature_Importance
0,P_2_mean,1037.0099420592082
1,P_2_std,809.0003400041896
2,P_2_min,1116.0006982608143
3,P_2_max,960.0003506140783
4,P_2_last,1562.8299488841037
5,D_39_mean,950.0005721001756
6,D_39_std,968.0013815653815
7,D_39_min,1055.000336208177
8,D_39_max,1025.0009284395715
9,D_39_last,1401.005175217279
10,R_1_mean,1024.0015010625973
11,R_1_std,840.0004876771127
12,R_1_min,1107.000441581141
13,R_1_max,751.0030165980636
14,R_1_last,1523.0042787879229
15,S_3_mean,757.0099193430583
16,S_3_std,629.0003749012249
17,S_3_min,832.0006021970224
18,S_3_max,749.0033517941291
19,S_3_last,1013.0073742250876
20,D_41_mean,1026.0006243246098
21,D_41_std,875.0004597460211
22,D_41_min,1015.0003616109025
23,D_41_max,805.0004425151856
24,D_41_last,1131.0013955695954
25,B_3_mean,668.0004627529997
26,B_3_std,956.000782533607
27,B_3_min,924.0003706667048
28,B_3_max,647.0016676021464
29,B_3_last,1121.0095424745507
30,D_43_mean,1069.0016603245556
31,D_43_std,627.0005244035856
32,D_43_min,860.0004690660571
33,D_43_max,757.0005627225037
34,D_43_last,825.0014818491389
35,D_44_mean,1003.0124165853736
36,D_44_std,795.0009040646628
37,D_44_min,1007.0003543016501
38,D_44_max,837.0008163914317
39,D_44_last,1197.0016038680305
40,B_4_mean,884.0004091664741
41,B_4_std,942.0025848676431
42,B_4_min,363.0004152691108
43,B_4_max,825.0008402976091
44,B_4_last,718.0012042053277
45,D_45_mean,603.002533844072
46,D_45_std,942.0003966187651
47,D_45_min,791.0008695897807
48,D_45_max,658.0044629519535
49,D_45_last,566.0019496816712
50,B_5_mean,904.0008415549033
51,B_5_std,552.00037763
52,B_5_min,1009.0005334174884
53,B_5_max,862.0006937748984
54,B_5_last,1095.0046279507483
55,R_2_mean,54.000412551657064
56,R_2_std,63.00027365674032
57,R_2_min,0.0
58,R_2_max,9.00249611446634
59,R_2_last,57.0110566271469
60,D_46_mean,878.0005997263927
61,D_46_std,606.0004526561706
62,D_46_min,889.0006859122377
63,D_46_max,773.000449153391
64,D_46_last,870.0007945639488
65,D_47_mean,1052.0004077476042
66,D_47_std,923.0003811141942
67,D_47_min,835.0005306037492
68,D_47_max,920.0006547422381
69,D_47_last,1010.0008114392656
70,D_48_mean,764.0012887389496
71,D_48_std,720.0004516371991
72,D_48_min,1101.000470249186
73,D_48_max,937.0006571262888
74,D_48_last,1259.0012971906256
75,D_49_mean,251.00079459657945
76,D_49_std,253.00102822372088
77,D_49_min,73.00063557777321
78,D_49_max,217.00115373556037
79,D_49_last,253.00237400632415
80,B_6_mean,604.0003453867629
81,B_6_std,622.0003929304075
82,B_6_min,595.0006209711692
83,B_6_max,650.0005376503104
84,B_6_last,738.0005605579214
85,B_8_mean,76.0012650936842
86,B_8_std,72.00047199687106
87,B_8_min,23.000387017265894
88,B_8_max,11.00061176205054
89,B_8_last,9.0
90,D_50_mean,491.00065007470266
91,D_50_std,366.0005977920373
92,D_50_min,388.00052877472035
93,D_50_max,492.0010208279284
94,D_50_last,485.000601132866
95,D_51_mean,386.0011239479063
96,D_51_std,146.00041411805432
97,D_51_min,22.000622382038273
98,D_51_max,44.00048618649551
99,D_51_last,54.00096740771551
100,B_9_mean,929.0003928951337
101,B_9_std,765.0006834159427
102,B_9_min,941.0004130661255
103,B_9_max,787.0006382785629
104,B_9_last,1075.004466193869
105,R_3_mean,703.0074377991759
106,R_3_std,771.0005212742253
107,R_3_min,87.0004832034756
108,R_3_max,312.00114475890695
109,R_3_last,245.00127388352587
110,D_52_mean,899.0005123146268
